school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address
Gakore Primary School,YO,Primary,Public,,,13.205445,10.7302083,71708,"Gakore Primary School, YO State, Nigeria"
Iridi Primary School,YO,Primary,Public,,,12.892161,10.7314539,71004,"Iridi Primary School, YO State, Nigeria"
Aigada Jauro Abdu Primary School,YO,Primary,Public,,,11.771239,11.316669,70508,"Aigada Jauro Abdu Primary School, YO State, Nigeria"
Garin Waziri Primary School,YO,Primary,Public,,,11.2424094,11.1234266,70408,"Garin Waziri Primary School, YO State, Nigeria"
Dapchi Ii LEA School,YO,Primary,Public,,,12.5000238,11.5068537,70205,"Dapchi Ii LEA School, YO State, Nigeria"
Danbua Primary School,YO,Primary,Public,,,11.7160648,11.0712274,71410,"Danbua Primary School, YO State, Nigeria"
Garin Kadai Primary School,YO,Primary,Unknown,,,11.9283469,10.8566701,71210,"Garin Kadai Primary School, YO State, Nigeria"
Kalgidi Primary School,YO,Primary,Public,,,13.0242092,9.847641,71107,"Kalgidi Primary School, YO State, Nigeria"
Bulawaini Primary School,YO,Primary,Public,,,11.525538,11.4883572,70501,"Bulawaini Primary School, YO State, Nigeria"
Damnaga Primary School,YO,Primary,Public,,,12.8911822,11.6463506,70210,"Damnaga Primary School, YO State, Nigeria"
Murba Primary School,YO,Primary,Public,,,11.7495132,11.590029,70511,"Murba Primary School, YO State, Nigeria"
Maina Ari Primary School,YO,Primary,Public,,,12.971018,10.8447236,71001,"Maina Ari Primary School, YO State, Nigeria"
Bakuna Primary School,YO,Primary,Public,,,11.2848473,10.9772837,70404,"Bakuna Primary School, YO State, Nigeria"
Fuchimiram Primary School,YO,Primary,Public,,,12.7799841,12.4065447,70601,"Fuchimiram Primary School, YO State, Nigeria"
Gwiodina Primary School,YO,Primary,Public,,,12.6479791,11.1137773,70102,"Gwiodina Primary School, YO State, Nigeria"
Garaji Primary School,YO,Primary,Public,,,12.0628375,11.9354136,71503,"Garaji Primary School, YO State, Nigeria"
Shariffuri Primary School,YO,Primary,Unknown,,,12.9987366,11.1650113,71702,"Shariffuri Primary School, YO State, Nigeria"
Gogaram Primary School,YO,Primary,Public,,,12.6389954,10.7058137,70904,"Gogaram Primary School, YO State, Nigeria"
Takvirvir Primary School,YO,Primary,Public,,,12.6904772,10.6582232,70110,"Takvirvir Primary School, YO State, Nigeria"
Ngaburawa Primary School,YO,Primary,Unknown,,,11.72233,12.1289,70301,"Ngaburawa Primary School, YO State, Nigeria"
Tadangara Primary School,YO,Primary,Public,,,11.1256334,11.4813355,70407,"Tadangara Primary School, YO State, Nigeria"
Central Primary School,YO,Primary,Public,,,11.2881084,11.2250366,70403,"Central Primary School, YO State, Nigeria"
Kanwaram Primary School,YO,Primary,Public,,,11.506387,11.5155065,70501,"Kanwaram Primary School, YO State, Nigeria"
Nujumul Aulad Islamiyya Nguru,YO,Primary,Public,,,12.8841325,10.4519495,71306,"Nujumul Aulad Islamiyya Nguru, YO State, Nigeria"
Yaro Primary,YO,Primary,Public,,,12.9576391,12.1074861,71601,"Yaro Primary, YO State, Nigeria"
Primary Ube School,YO,Primary,Public,,,12.7706284,11.5127769,70209,"Primary Ube School, YO State, Nigeria"
