school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Linga Primary School,AD,Primary,Public,,,9.505788,12.123629,ADSDSA04,"Linga Primary School, AD State, Nigeria",Open
Kuna Vinde,AD,Primary,Public,,,10.144601,13.173407,ADSMAH02,"Kuna Vinde, AD State, Nigeria",Unknown
Primary School Holma,AD,Primary,Public,,,9.90186,13.054879,ADSSNG11,"Primary School Holma, AD State, Nigeria",Unknown
Wuro Alhaji Yahya Primary School,AD,Primary,Public,,,8.6261246,12.382883,ADSJAD11,"Wuro Alhaji Yahya Primary School, AD State, Nigeria",Open
Mwanayari I Primary School,AD,Primary,Public,,,9.624016,11.79862,ADSLMR04,"Mwanayari I Primary School, AD State, Nigeria",Unknown
Boshikiri Primary School,AD,Primary,Public,,,9.649007,11.834696,ADSGUY06,"Boshikiri Primary School, AD State, Nigeria",Unknown
Boyu Primary School,AD,Primary,Public,,,8.712139,11.887755,ADSMWA02,"Boyu Primary School, AD State, Nigeria",Open
Kongoli Primary School,AD,Primary,Public,,,9.791717,13.106109,ADSMAH09,"Kongoli Primary School, AD State, Nigeria",Open
Naya Primary School,AD,Primary,Public,,,8.158576,11.928613,ADSTNG04,"Naya Primary School, AD State, Nigeria",Unknown
Lainde Primary School,AD,Primary,Public,,,10.057758,13.165414,ADSMAH06,"Lainde Primary School, AD State, Nigeria",Open
Kuba Banga Primary School,AD,Primary,Public,,,9.850289,12.443336,ADSSNG03,"Kuba Banga Primary School, AD State, Nigeria",Open
Gazha Primary School,AD,Primary,Public,,,10.432858,13.428123,ADSMUB07,"Gazha Primary School, AD State, Nigeria",Open
Murkunchi Primary School,AD,Primary,Public,,,10.154167,13.117454,ADSMAH02,"Murkunchi Primary School, AD State, Nigeria",Open
Njoboli Primary School,AD,Primary,Public,,,9.2037,12.587579,ADSYLA06,"Njoboli Primary School, AD State, Nigeria",Unknown
Pupah Primary School,AD,Primary,Public,,,9.821941,12.162029,ADSSHG01,"Pupah Primary School, AD State, Nigeria",Open
Gidan Bagobiri Normadic Primary School,AD,Primary,Public,,,8.787111,12.059851,ADSJAD08,"Gidan Bagobiri Normadic Primary School, AD State, Nigeria",Unknown
Sabon Gari Primary School,AD,Primary,Public,,,9.334382,12.50795,ADSGRE04,"Sabon Gari Primary School, AD State, Nigeria",Open
Lutheran Primary School,AD,Primary,Private,,,9.906704,11.927462,ADSGUY07,"Lutheran Primary School, AD State, Nigeria",Unknown
Mango Primary School,AD,Primary,Public,,,10.728781,13.625266,ADSMDG10,"Mango Primary School, AD State, Nigeria",Unknown
Lar Primary School,AD,Primary,Public,,,10.405915,12.84936,ADSHNG03,"Lar Primary School, AD State, Nigeria",Open
Gyemun Primary School,AD,Primary,Public,,,9.474624,11.737827,ADSNUM10,"Gyemun Primary School, AD State, Nigeria",Open
Danubbi Primary School,AD,Primary,Public,,,8.484309,11.899347,ADSGAN05,"Danubbi Primary School, AD State, Nigeria",Open
Garfite Primary School Garfite,AD,Primary,Public,,,10.254192,12.572994,ADSGMB09,"Garfite Primary School Garfite, AD State, Nigeria",Unknown
